,max_depth,minInstancesPerNode,training_rmse,testing_rmse,Best Model
0,2.0,2.0,47.91682921241656,55.366616118159676,0.0
1,2.0,3.0,47.91682921241656,55.366616118159676,0.0
2,2.0,4.0,47.91682921241656,55.366616118159676,0.0
3,2.0,5.0,47.91682921241656,55.366616118159676,0.0
4,2.0,6.0,47.91682921241656,55.366616118159676,0.0
5,2.0,7.0,47.91682921241656,55.366616118159676,0.0
6,3.0,2.0,47.76612778507486,55.28038354567977,0.0
7,3.0,3.0,47.76612778507486,55.28038354567977,0.0
8,3.0,4.0,47.76612778507486,55.28038354567977,0.0
9,3.0,5.0,47.76612778507486,55.28038354567977,0.0
10,3.0,6.0,47.76612778507486,55.28038354567977,0.0
11,3.0,7.0,47.76612778507486,55.28038354567977,0.0
12,4.0,2.0,47.58910897231409,55.07704607017616,0.0
13,4.0,3.0,47.58910897231409,55.07704607017616,0.0
14,4.0,4.0,47.58910897231409,55.07704607017616,0.0
15,4.0,5.0,47.58910897231409,55.07704607017616,0.0
16,4.0,6.0,47.58910897231409,55.07704607017616,0.0
17,4.0,7.0,47.58910897231409,55.07704607017616,0.0
18,5.0,2.0,47.286225371125525,54.905175029408234,0.0
19,5.0,3.0,47.30192156999659,54.89956715867332,0.0
20,5.0,4.0,47.30219374273072,54.900527254543405,0.0
21,5.0,5.0,47.30219374273072,54.900527254543405,0.0
22,5.0,6.0,47.30370104473612,54.90153911217826,0.0
23,5.0,7.0,47.30370104473612,54.90153911217826,0.0
24,6.0,2.0,46.631779156181786,54.42703077450768,0.0
25,6.0,3.0,46.66340658076663,54.31169541987228,0.0
26,6.0,4.0,46.69001750601839,54.23292781779131,0.0
27,6.0,5.0,46.6916353235135,54.22692014489203,0.0
28,6.0,6.0,46.69789116056149,54.21724675977959,0.0
29,6.0,7.0,46.70562090904936,54.18302140582379,0.0
30,7.0,2.0,45.5210168544117,54.37925920920417,0.0
31,7.0,3.0,45.497210439941725,54.15676055772474,0.0
32,7.0,4.0,45.562975820948296,54.19293763836945,0.0
33,7.0,5.0,45.57721933809121,54.07931958746045,0.0
34,7.0,6.0,45.656662104949135,54.12047816318285,0.0
35,7.0,7.0,45.73920172195738,53.945410909955015,1000.0
36,8.0,2.0,43.82524097734326,55.931058625797476,0.0
37,8.0,3.0,43.9790279135085,55.53750651540686,0.0
38,8.0,4.0,44.437879938081814,54.27157100492298,0.0
39,8.0,5.0,44.711965391619,54.291169870460244,0.0
40,8.0,6.0,44.83496356108666,54.34519973719283,0.0
41,8.0,7.0,44.988078773677394,54.08257320916196,0.0
42,9.0,2.0,42.582694085971134,57.38341966668211,0.0
43,9.0,3.0,42.82449325275995,56.336967304685075,0.0
44,9.0,4.0,43.38116925362648,54.88377070375335,0.0
45,9.0,5.0,43.71366932234608,54.73505402986274,0.0
46,9.0,6.0,44.091766267141054,54.662777998961936,0.0
47,9.0,7.0,44.336712380204695,54.32782094322211,0.0
48,10.0,2.0,41.258222436732005,58.47567993444411,0.0
49,10.0,3.0,41.60078191566867,57.16533215040532,0.0
50,10.0,4.0,42.35372349745015,55.3361876577146,0.0
51,10.0,5.0,42.72924911549466,55.17448075611298,0.0
52,10.0,6.0,43.137394191455826,55.11391675749806,0.0
53,10.0,7.0,43.61320128750479,54.08910116906177,0.0
