,max_depth,minInstancesPerNode,training_rmse,testing_rmse,Best Model
0,2.0,2.0,47.93561730764726,49.04315994207167,0.0
1,2.0,3.0,47.93561730764726,49.04315994207167,0.0
2,2.0,4.0,47.93561730764726,49.04315994207167,0.0
3,2.0,5.0,47.93561730764726,49.04315994207167,0.0
4,2.0,6.0,47.93561730764726,49.04315994207167,0.0
5,2.0,7.0,47.93561730764726,49.04315994207167,0.0
6,3.0,2.0,47.77054885033012,48.881241339112464,0.0
7,3.0,3.0,47.77054885033012,48.881241339112464,0.0
8,3.0,4.0,47.77054885033012,48.881241339112464,0.0
9,3.0,5.0,47.77054885033012,48.881241339112464,0.0
10,3.0,6.0,47.77054885033012,48.881241339112464,0.0
11,3.0,7.0,47.77054885033012,48.881241339112464,0.0
12,4.0,2.0,47.65124359338537,48.76776222152462,0.0
13,4.0,3.0,47.65124359338537,48.76776222152462,0.0
14,4.0,4.0,47.65124359338537,48.76776222152462,0.0
15,4.0,5.0,47.65124359338537,48.76776222152462,0.0
16,4.0,6.0,47.65124359338537,48.76776222152462,0.0
17,4.0,7.0,47.65124359338537,48.76776222152462,0.0
18,5.0,2.0,47.51664207825426,48.626438733816144,0.0
19,5.0,3.0,47.51664207825426,48.626438733816144,0.0
20,5.0,4.0,47.51664207825426,48.626438733816144,0.0
21,5.0,5.0,47.51664207825425,48.626438733816144,0.0
22,5.0,6.0,47.51664207825426,48.626438733816144,0.0
23,5.0,7.0,47.51664207825426,48.626438733816144,0.0
24,6.0,2.0,47.29709610399408,48.399627363028195,0.0
25,6.0,3.0,47.29709610399408,48.399627363028195,0.0
26,6.0,4.0,47.29709610399408,48.399627363028195,0.0
27,6.0,5.0,47.29709610399408,48.399627363028195,0.0
28,6.0,6.0,47.29709610399408,48.399627363028195,0.0
29,6.0,7.0,47.29709610399408,48.399627363028195,0.0
30,7.0,2.0,47.045529448056385,48.17757565279003,0.0
31,7.0,3.0,47.04552944805637,48.17757565279003,0.0
32,7.0,4.0,47.04615989712569,48.17743245711329,0.0
33,7.0,5.0,47.04644392234367,48.177066631845065,0.0
34,7.0,6.0,47.04644392234367,48.17706663184506,0.0
35,7.0,7.0,47.046465931040665,48.17782827324199,0.0
36,8.0,2.0,46.734492483706,47.97039271403584,0.0
37,8.0,3.0,46.73528409790388,47.971457576695244,0.0
38,8.0,4.0,46.73802695807699,47.97426312206903,0.0
39,8.0,5.0,46.74073896370047,47.96326303862216,0.0
40,8.0,6.0,46.742741441592514,47.9518414864625,0.0
41,8.0,7.0,46.74243663770605,47.95271377190025,0.0
42,9.0,2.0,46.32467408649093,47.887611222521926,0.0
43,9.0,3.0,46.336153753684634,47.907612621578174,0.0
44,9.0,4.0,46.3372234229208,47.908073517645,0.0
45,9.0,5.0,46.34345306581154,47.894316413168156,0.0
46,9.0,6.0,46.34386050290805,47.88387914358539,0.0
47,9.0,7.0,46.347354105688595,47.894109575069365,0.0
48,10.0,2.0,45.67600990937549,47.81702291752614,0.0
49,10.0,3.0,45.69804283355005,47.78097837674912,0.0
50,10.0,4.0,45.70751743003435,47.767597013331795,0.0
51,10.0,5.0,45.71995825734264,47.73468003236614,0.0
52,10.0,6.0,45.72419970689357,47.70474452853713,1000.0
53,10.0,7.0,45.73277063738413,47.732045510745486,0.0
